date,tenant_id,location_id,product_id,day_of_week,is_holiday,product_category,current_price,sales_last_7_day,target_sales_qty
2024-01-01,1002,103,288,Monday,False,Main Course,230.35,0,21
2024-01-01,1002,109,270,Monday,False,Beverage,108.38,0,19
2024-01-01,1002,104,282,Monday,False,Beverage,376.76,0,13
2024-01-01,1002,106,264,Monday,False,Beverage,359.13,0,27
2024-01-01,1002,107,293,Monday,False,Main Course,108.36,0,32
2024-01-01,1002,103,260,Monday,False,Main Course,204.39,0,22
2024-01-01,1002,109,281,Monday,False,Main Course,82.42,0,17
2024-01-01,1002,107,265,Monday,False,Dessert,77.7,0,25
2024-01-01,1002,102,287,Monday,False,Beverage,364.69,0,18
2024-01-01,1002,101,283,Monday,False,Beverage,191.51,0,27
2024-01-01,1002,101,291,Monday,False,Main Course,396.74,0,25
2024-01-01,1002,108,298,Monday,False,Main Course,392.75,0,32
2024-01-01,1002,107,290,Monday,False,Beverage,78.41,0,30
2024-01-01,1002,108,297,Monday,False,Appetizer,254.52,0,11
2024-01-01,1002,104,286,Monday,False,Dessert,315.32,0,11
2024-01-01,1002,109,295,Monday,False,Beverage,422.08,0,31
2024-01-01,1002,103,256,Monday,False,Appetizer,220.52,0,18
2024-01-01,1002,105,266,Monday,False,Beverage,71.39,0,19
2024-01-01,1002,106,254,Monday,False,Beverage,212.04,0,24
2024-01-01,1002,103,277,Monday,False,Appetizer,203.96,0,21
2024-01-01,1002,105,284,Monday,False,Dessert,146.49,0,19
2024-01-01,1002,101,280,Monday,False,Appetizer,436.14,0,13
2024-01-01,1002,106,259,Monday,False,Dessert,344.15,0,17
2024-01-01,1002,101,262,Monday,False,Appetizer,394.35,0,12
2024-01-01,1002,108,255,Monday,False,Beverage,311.9,0,28
2024-01-01,1002,104,269,Monday,False,Dessert,101.0,0,23
2024-01-01,1002,107,268,Monday,False,Beverage,346.42,0,13
2024-01-01,1002,104,292,Monday,False,Beverage,339.87,0,29
2024-01-01,1002,102,251,Monday,False,Appetizer,282.8,0,12
2024-01-01,1002,101,272,Monday,False,Beverage,102.04,0,11
2024-01-02,1001,107,214,Tuesday,False,Main Course,322.51,0,30
2024-01-02,1001,108,231,Tuesday,False,Appetizer,189.42,0,27
2024-01-02,1001,101,205,Tuesday,False,Main Course,85.34,0,19
2024-01-02,1001,105,228,Tuesday,False,Main Course,311.12,0,21
2024-01-02,1001,105,208,Tuesday,False,Beverage,421.31,0,22
2024-01-02,1001,104,225,Tuesday,False,Appetizer,365.83,0,19
2024-01-02,1001,104,224,Tuesday,False,Main Course,299.85,0,14
2024-01-02,1001,105,207,Tuesday,False,Appetizer,437.52,0,37
2024-01-02,1001,109,250,Tuesday,False,Dessert,393.15,0,13
2024-01-02,1001,108,203,Tuesday,False,Appetizer,50.03,0,24
2024-01-02,1001,108,209,Tuesday,False,Main Course,391.2,0,20
2024-01-02,1001,101,248,Tuesday,False,Beverage,319.43,0,36
2024-01-02,1001,109,233,Tuesday,False,Beverage,405.19,0,13
2024-01-02,1001,106,240,Tuesday,False,Main Course,415.68,0,22
